idx,success,timestep,world_x_mean,world_x_std,world_y_mean,world_y_std,world_z_mean,world_z_std,rot_x_mean,rot_x_std,rot_y_mean,rot_y_std,rot_z_mean,rot_z_std,open_gripper_mean,open_gripper_std
31,0,31,0.005955502245864221,0.011435078171371278,0.00708954431579566,0.010039573070003128,-0.0037612377395037154,0.011697152282807178,0.02092876808080016,0.02632630847075907,-0.0038813212447497774,0.02806966334750626,0.02769745329130298,0.04932786112062483,0.6997893462653539,0.25982289898664235
32,0,32,0.005069845500881641,0.010145306220505357,0.006132961270306617,0.008339569840945391,-0.003107051932437156,0.011443417152656071,0.019143282211505203,0.026494815264724095,-0.006839685015478734,0.029705250934375545,0.027203914435767484,0.044318428910976614,0.7050264617494644,0.2466783908905847
33,0,33,0.005089183844170102,0.008883163526806523,0.005226338874306476,0.008294118177819974,-0.0022889271887354696,0.01237914033089825,0.018297322509378565,0.027507326868758807,-0.008762209494590405,0.034545731170399226,0.026971720731487955,0.039370116918180896,0.7074207479350536,0.2571240498611607
34,0,34,0.005180338766897308,0.008796510931101271,0.00565018501792525,0.008248219644851925,-0.002107111686834855,0.01209454826925059,0.01977398704913163,0.028258049568162934,-0.007681995592276535,0.0278605042124072,0.025222908117289968,0.03988281710781935,0.7065588496426222,0.2591919008312707
35,0,35,0.004993213909491718,0.009425519201682487,0.005671532033253292,0.008485469674371398,-0.00255038807843678,0.012357604600238636,0.018357652580379812,0.03567264171867415,-0.0077327087558897376,0.03694774565329048,0.026764442141474217,0.04314091211339615,0.7273711104164496,0.26694046412746775
36,0,36,0.0055131234470462715,0.00958220404745982,0.0047882321972816545,0.00863368723876405,-0.0014552048814814836,0.01248717947509622,0.022842368658326954,0.02939153282126054,-0.007280643112017235,0.03000099079694996,0.02245794716443409,0.04654820496013718,0.7066407196426745,0.2773910214992609
37,0,37,0.0057230154506775635,0.009204953515573829,0.004200184922182524,0.008023824717335717,-0.0009442850439256178,0.013604830895602377,0.02279740635142394,0.030382943884809784,-0.010267962319309194,0.03487295752771429,0.0209921260196923,0.04224052034615606,0.6998677649643033,0.28879223907426355
38,0,38,0.006391391211902541,0.009938596832842775,0.00412513379233272,0.008009215860768837,-0.0017087630540738238,0.013192743573489483,0.022053491504081448,0.035538638608785915,-0.009080613236930097,0.03188030336528712,0.021340747667922627,0.03933181307308056,0.6991106821964934,0.2725025121957293
39,0,39,0.006425515096779588,0.010622415362925571,0.0038758558051478226,0.00827181460516206,-0.0028359327715075794,0.011649633303582981,0.019663438486993326,0.024414968805116205,-0.007117300458223215,0.026404831211929203,0.017112092410736635,0.03645437605819686,0.7175155263616706,0.2669990551308469
40,0,40,0.006098355844878267,0.011461043506090146,0.004009355493764111,0.0076602951695865,-0.0018310520429074071,0.013230047392457107,0.021990614384493054,0.0287637299169569,-0.011255750585385551,0.03459230665901516,0.017313609296837534,0.037993276376127684,0.7099584790594649,0.28455972443563177
41,0,41,0.006701477230129535,0.010755465713864648,0.003992313486423568,0.008039815989752865,-0.0025909709541632893,0.011273802064468168,0.023542739143514815,0.025803804667867206,-0.00866000544658275,0.030462167499465856,0.013464740074514791,0.039920226757617416,0.7180379280909481,0.26057867379572075
42,0,42,0.005932609741243719,0.009374142120727699,0.003944620416069027,0.007893519736151025,-0.0021393207059945676,0.010594682242707739,0.022363449391164955,0.025125326878572884,-0.0106940539981677,0.030846144950125214,0.014165472347796465,0.040999349952575835,0.7246295984572948,0.2533887057085822
43,0,43,0.005012676271278112,0.008608590091882858,0.004188503704600926,0.00792573063802954,-0.0026742014126612187,0.010919531855941892,0.021328595152331726,0.024984757822950877,-0.00946444723931863,0.034197397107826044,0.0157547259737962,0.03965132673912488,0.7348882062133404,0.23743770066645536
44,0,44,0.004077779090334617,0.008527909275964514,0.0039555320246265555,0.009777293040789321,-0.002844348848686764,0.011951364747640263,0.017985134970546626,0.024064483719095756,-0.010601242967113858,0.0359511815468935,0.01791183080849896,0.050609351948401486,0.7225878142367108,0.23625925006128323
45,0,45,0.0033156058677506523,0.008240705685375679,0.0037539941712625598,0.007738548140287922,-0.00246361853731475,0.011433867269726072,0.015846024682242207,0.024690825785223483,-0.011266708752436794,0.0382894102899853,0.017881807911916757,0.042895785110604816,0.7154245530385908,0.2234455201537152
